feature1,feature2,feature3,feature4,feature5
5.773199370509473,1.7836073294266712,8.012295222673622,5.611171782756239,4.902694099866585
1.863883627368081,7.340882522525188,2.913947203573448,9.61437425149278,8.383186437019871
2.1337622676324903,1.8577348138374155,4.648213190717859,5.282364864004466,8.941924917107604
4.844887867461641,7.147941674468611,6.795572984261977,3.1700349481665304,2.7676980923975236
1.8753614434479704,2.3892706917380195,1.041183847935678,8.28672553091241,6.592513904345204
8.927284851246105,9.236468738415894,9.353995327092482,7.836721623208472,8.733552963714024
5.685876444944915,2.1233029033534145,3.5095833808240275,9.797640062456539,7.401872961486883
9.157649946936624,2.088775530666863,8.601210828495624,6.110387000019686,5.5088440282398965
4.2258498012862695,9.300003011471103,3.405184712063355,1.6704668780317231,1.6797600079104362
8.815717219011285,6.680962954420701,9.79062623601776,5.538070828261262,2.744652124430834
2.3708358383871557,2.263777331132666,1.912456931435615,4.970975792012942,1.5539991157373192
3.9748750335006258,4.916897413072029,8.041329515395038,7.173101236245845,8.657007747619236
3.069571689382266,1.4576550497279834,3.778012471210072,8.927541448340744,7.246347699965468
8.08009447859423,9.44051238505733,1.7670611603676731,8.174781997334254,8.612589256161543
9.867687084987974,5.675102443350179,9.585194279084607,8.621556443218509,5.354607917766238
7.825297498139361,7.017225138058494,9.534823484826267,1.501298831611252,1.8724028015580565
1.1553279451343679,6.955562298657367,7.744964014255093,3.69317882371948,7.456832559296704
1.8279044440631456,5.432816208899221,3.4052325433396278,8.45979811925781,6.85676786978057
7.420769075662434,7.987045386472054,8.361750898515645,5.10020308749452,1.0675760579036317
6.469358033761249,8.075806408905699,9.728603411149733,7.325308322697701,7.778109068874778
3.436172885935492,4.575820376736416,9.381836262249804,1.518421022146995,2.580418169373079
2.1773006932338963,1.663290935286683,2.0567483474978014,5.564586995516585,2.6973190272551397
4.127362537274414,1.6921882932158874,2.2677473935431585,8.193186132412347,6.598689881219425
1.013118590425632,9.963039233949086,5.457303230097118,6.875177337896622,3.307785128054084
3.3544909494789836,2.5891763898088795,5.808882738069255,5.1536241056642025,3.750621565007466
6.670277159303796,8.62453119762778,1.6107930610916787,7.4370683597434555,2.795193772591976
1.7726550446031881,4.379918837335323,5.540611626562809,7.8622579614953345,8.210619304305173
7.800415163522695,7.083214469936841,8.725745987059462,2.7158120989504493,8.033518846200096
7.076785066441076,8.475704163120966,7.936858897355788,6.465122528949304,9.453769636731147
3.1975293136970415,6.300918642314638,8.04849177125391,2.841001715827004,3.4341464331471374
3.391139193526809,1.8128611674968027,8.406516486443564,4.734685453264126,5.515951073246786
6.0227721368808504,6.955740731715527,9.171717725002292,5.951826694653593,9.539752189250237
7.926121750693736,7.3498640605401855,4.745471892953002,2.384299973994715,5.23776545430259
6.492124499986601,6.576801912019231,1.0322572674779078,8.871733496582646,4.861234760464331
4.054793635177822,6.0297487018946985,8.983502881728437,8.26459484059568,3.3941147012144297
4.672667597796179,4.519616287958498,7.204595235293356,7.6266707518655,2.550196939420606
2.8552319469978467,4.0994046240927595,9.353073649923372,5.021594705800434,5.876433904682266
3.9121728884761207,9.17716317456534,5.033146717042476,3.7599494552357666,6.52506945379654
6.800707969702474,1.6629541176135128,7.180579699612974,6.099069766298577,2.324120016170321
1.8978436785173853,6.321136810565765,5.91932577877736,4.61073983206437,1.5656730666018952
2.134095624125202,3.0507368375890453,3.0404479890409917,5.29409967194362,7.389115655262557
8.68785559184251,1.0874884397196816,9.628216398281046,7.5272759814717976,8.883033543603194
5.7122141724748,6.835781523553212,4.10489112863465,6.461671650738301,4.988386330422953
8.780532591743787,4.3402923765028145,4.2431209460978625,7.4883149465351,6.188535030084732
4.306249570193361,2.560728709210162,5.487619072246286,1.13908393436824,3.5549952681120374
4.9441735465593535,2.653917407172558,4.569675209893186,1.6452743385243154,8.593638655854903
8.384755783546645,1.1488906388098092,4.318569095606048,5.580734497235611,7.660097754429994
9.974397776074557,6.122665902170664,8.366535101756451,6.23022384082103,1.549201502421388
4.7625249447308216,1.2846330632969614,9.105813845544114,3.8882887368368877,7.383478037899952
8.687432995854863,7.521571240937369,9.404810965555505,7.676492549232487,7.44338020190282
4.811037468045784,4.2654667981892835,8.07684770793519,5.477047670830841,3.2603532616383353
9.56920462765134,9.889470645159031,8.766538529138112,4.507204022645968,9.87459399072896
1.245522196120846,4.6040208894505135,5.469506312398516,5.208884173796504,2.38839312858787
